Date,Price_Lag_5,Price_Lag_4,Price_Lag_3,Price_Lag_2,Price_Lag_1,Target
01.06.2021,27.200000762939453,29.398000717163086,26.64699935913086,24.934999465942383,26.94300079345703,26.075000762939453
01.07.2021,29.398000717163086,26.64699935913086,24.934999465942383,26.94300079345703,28.08300018310547,25.55699920654297
02.08.2021,26.64699935913086,24.934999465942383,26.94300079345703,28.08300018310547,26.075000762939453,24.177000045776367
01.09.2021,24.934999465942383,26.94300079345703,28.08300018310547,26.075000762939453,25.55699920654297,22.510000228881836
01.10.2021,26.94300079345703,28.08300018310547,26.075000762939453,25.55699920654297,24.177000045776367,24.06399917602539
01.11.2021,28.08300018310547,26.075000762939453,25.55699920654297,24.177000045776367,22.510000228881836,22.298999786376953
01.12.2021,26.075000762939453,25.55699920654297,24.177000045776367,22.510000228881836,24.06399917602539,22.790000915527344
03.01.2022,25.55699920654297,24.177000045776367,22.510000228881836,24.06399917602539,22.298999786376953,22.59600067138672
01.02.2022,24.177000045776367,22.510000228881836,24.06399917602539,22.298999786376953,22.790000915527344,25.534000396728516
01.03.2022,22.510000228881836,24.06399917602539,22.298999786376953,22.790000915527344,22.59600067138672,24.642000198364258
01.04.2022,24.06399917602539,22.298999786376953,22.790000915527344,22.59600067138672,25.534000396728516,22.54400062561035
02.05.2022,22.298999786376953,22.790000915527344,22.59600067138672,25.534000396728516,24.642000198364258,21.884000778198242
01.06.2022,22.790000915527344,22.59600067138672,25.534000396728516,24.642000198364258,22.54400062561035,19.597000122070312
01.07.2022,22.59600067138672,25.534000396728516,24.642000198364258,22.54400062561035,21.884000778198242,20.32200050354004
01.08.2022,25.534000396728516,24.642000198364258,22.54400062561035,21.884000778198242,19.597000122070312,17.551000595092773
01.09.2022,24.642000198364258,22.54400062561035,21.884000778198242,19.597000122070312,20.32200050354004,20.518999099731445
03.10.2022,22.54400062561035,21.884000778198242,19.597000122070312,20.32200050354004,17.551000595092773,19.67300033569336
01.11.2022,21.884000778198242,19.597000122070312,20.32200050354004,17.551000595092773,20.518999099731445,22.636999130249023
01.12.2022,19.597000122070312,20.32200050354004,17.551000595092773,20.518999099731445,19.67300033569336,24.05900001525879
03.01.2023,20.32200050354004,17.551000595092773,20.518999099731445,19.67300033569336,22.636999130249023,23.520999908447266
01.02.2023,17.551000595092773,20.518999099731445,19.67300033569336,22.636999130249023,24.05900001525879,20.958999633789062
01.03.2023,20.518999099731445,19.67300033569336,22.636999130249023,24.05900001525879,23.520999908447266,23.94099998474121
03.04.2023,19.67300033569336,22.636999130249023,24.05900001525879,23.520999908447266,20.958999633789062,25.009000778198242
01.05.2023,22.636999130249023,24.05900001525879,23.520999908447266,20.958999633789062,23.94099998474121,23.875
01.06.2023,24.05900001525879,23.520999908447266,20.958999633789062,23.94099998474121,25.009000778198242,22.895999908447266
03.07.2023,23.520999908447266,20.958999633789062,23.94099998474121,25.009000778198242,23.875,24.20800018310547
01.08.2023,20.958999633789062,23.94099998474121,25.009000778198242,23.875,22.895999908447266,24.23200035095215
01.09.2023,23.94099998474121,25.009000778198242,23.875,22.895999908447266,24.20800018310547,21.218000411987305
02.10.2023,25.009000778198242,23.875,22.895999908447266,24.20800018310547,24.23200035095215,22.684999465942383
01.11.2023,23.875,22.895999908447266,24.20800018310547,24.23200035095215,21.218000411987305,25.499000549316406
01.12.2023,22.895999908447266,24.20800018310547,24.23200035095215,21.218000411987305,22.684999465942383,23.732999801635742
02.01.2024,24.20800018310547,24.23200035095215,21.218000411987305,22.684999465942383,25.499000549316406,23.1299991607666
01.02.2024,24.23200035095215,21.218000411987305,22.684999465942383,25.499000549316406,23.732999801635742,23.149999618530273
01.03.2024,21.218000411987305,22.684999465942383,25.499000549316406,23.732999801635742,23.1299991607666,24.95400047302246
01.04.2024,22.684999465942383,25.499000549316406,23.732999801635742,23.1299991607666,23.149999618530273,26.48900032043457
01.05.2024,25.499000549316406,23.732999801635742,23.1299991607666,23.149999618530273,24.95400047302246,30.641000747680664
03.06.2024,23.732999801635742,23.1299991607666,23.149999618530273,24.95400047302246,26.48900032043457,29.299999237060547
01.07.2024,23.1299991607666,23.149999618530273,24.95400047302246,26.48900032043457,30.641000747680664,28.33099937438965
01.08.2024,23.149999618530273,24.95400047302246,26.48900032043457,30.641000747680664,29.299999237060547,27.951000213623047
03.09.2024,24.95400047302246,26.48900032043457,30.641000747680664,29.299999237060547,28.33099937438965,31.44499969482422
01.10.2024,26.48900032043457,30.641000747680664,29.299999237060547,28.33099937438965,27.951000213623047,32.54199981689453
01.11.2024,30.641000747680664,29.299999237060547,28.33099937438965,27.951000213623047,31.44499969482422,30.448999404907227
02.12.2024,29.299999237060547,28.33099937438965,27.951000213623047,31.44499969482422,32.54199981689453,29.621999740600586
02.01.2025,28.33099937438965,27.951000213623047,31.44499969482422,32.54199981689453,30.448999404907227,32.391998291015625
03.02.2025,27.951000213623047,31.44499969482422,32.54199981689453,30.448999404907227,29.621999740600586,32.03200149536133
03.03.2025,31.44499969482422,32.54199981689453,30.448999404907227,29.621999740600586,32.391998291015625,34.15800094604492
01.04.2025,32.54199981689453,30.448999404907227,29.621999740600586,32.391998291015625,32.03200149536133,32.18899917602539
01.05.2025,30.448999404907227,29.621999740600586,32.391998291015625,32.03200149536133,34.15800094604492,34.5629997253418
02.06.2025,29.621999740600586,32.391998291015625,32.03200149536133,34.15800094604492,32.18899917602539,36.082000732421875
01.07.2025,32.391998291015625,32.03200149536133,34.15800094604492,32.18899917602539,34.5629997253418,36.7869987487793
